User_id;Credit_id;Count_months;Amount;Month_payment;Payed;Left;Planned;Credit_taken;Pay_date
4466;146;7;1000;100;100,00;0,00;100;28.12.2019 11:33;28.01.2020
2418;147;8;500;50;50,00;0,00;50;28.12.2019 13:22;28.01.2020
2834;148;7;500;50;50,00;0,00;50;28.12.2019 17:07;28.01.2020
88;149;7;500;50;50,00;0,00;50;28.12.2019 20:19;28.01.2020
5770;150;7;1000;100;100,00;0,00;100;28.12.2019 20:35;28.01.2020
6026;151;7;1000;100;100,00;0,00;100;28.12.2019 21:31;28.01.2020
6067;152;8;1000;100;100,00;0,00;100;28.12.2019 22:16;28.01.2020
99;153;7;500;50;50,00;0,00;50;28.12.2019 22:25;28.01.2020
5568;154;7;500;50;50,00;0,00;50;29.12.2019 0:08;28.01.2020
6565;155;7;1000;100;100,00;0,00;100;29.12.2019 0:58;28.01.2020
128;156;7;500;50;50,00;0,00;50;29.12.2019 1:17;28.01.2020
6509;157;9;500;50;0,00;50,00;50;29.12.2019 2:18;28.01.2020
6177;158;7;1500;150;50,00;0,00;150;29.12.2019 9:41;29.01.2020
5533;159;22;5000;167;501,00;0,00;167;29.12.2019 12:40;29.01.2020
6566;160;8;1000;100;121,00;0,00;100;29.12.2019 14:44;29.01.2020
5562;161;7;500;50;50,00;0,00;50;29.12.2019 15:22;29.01.2020
138;162;7;500;50;50,00;0,00;50;29.12.2019 19:35;29.01.2020
8939;163;7;500;50;50,00;0,00;50;29.12.2019 20:14;29.01.2020
180;164;9;500;50;0,00;50,00;50;29.12.2019 20:28;29.01.2020
2223;165;7;1000;100;100,00;0,00;100;29.12.2019 20:53;29.01.2020
1132;166;8;1000;100;0,00;0,00;100;29.12.2019 21:53;29.01.2020
9312;167;8;1000;100;100,00;0,00;100;29.12.2019 22:14;29.01.2020
1725;168;7;1000;100;100,00;0,00;100;29.12.2019 23:49;29.01.2020
5993;169;6;500;50;0,00;0,00;50;30.12.2019 1:32;29.01.2020
5638;170;7;1000;100;100,00;0,00;100;30.12.2019 1:45;29.01.2020
9806;172;9;1000;100;0,00;100,00;100;30.12.2019 2:12;29.01.2020
9923;173;6;500;50;0,00;0,00;50;30.12.2019 3:47;29.01.2020
9921;174;9;500;50;0,00;50,00;50;30.12.2019 5:07;30.01.2020
3667;175;7;1000;100;100,00;0,00;100;30.12.2019 5:31;30.01.2020
4057;176;7;500;50;50,00;0,00;50;30.12.2019 11:30;30.01.2020
