User_id,Credit_id,Count_months,Amount,Month_payment,Payed,Left,Planned,Credit_taken,Pay_date
10841,198,7,500.00,50.00,0,50.00,50.00,2019-12-30 20:18:50,2020-03-30
134,199,7,1000.00,100.00,0,100.00,100.00,2019-12-30 20:37:05,2020-03-30
11746,200,7,500.00,50.00,50.00,50.00,50.00,2019-12-30 20:47:06,2020-03-30
2735,201,27,5000.00,167.00,0,167.00,167.00,2019-12-30 22:00:04,2020-03-30
34,202,9,1000.00,100.00,0,100.00,100.00,2019-12-30 13:34:17,2020-03-30
12033,203,8,1000.00,100.00,0,100.00,100.00,2019-12-30 22:22:21,2020-03-30
2409,204,27,5000.00,167.00,166.97,167.00,167.00,2019-12-30 22:22:45,2020-03-30
455,206,7,500.00,50.00,65.80,2.20,50.00,2019-12-31 00:30:21,2020-03-30
9890,207,7,1000.00,100.00,0,100.00,100.00,2019-12-31 00:44:03,2020-03-30
12525,208,6,500.00,50.00,50.00,0.00,50.00,2019-12-31 00:49:50,2020-03-30
12402,209,7,1000.00,100.00,0,100.00,100.00,2019-12-31 00:52:24,2020-03-30
69,210,7,500.00,50.00,0,50.00,50.00,2019-12-31 01:18:34,2020-03-30
132,211,8,500.00,50.00,0,50.00,50.00,2019-12-31 02:27:44,2020-03-30
12708,212,9,1000.00,100.00,0,100.00,100.00,2019-12-31 02:51:50,2020-03-30
12730,213,9,1000.00,100.00,0,100.00,100.00,2019-12-31 03:05:58,2020-03-30
9548,214,7,500.00,50.00,50.00,50.00,50.00,2019-12-31 03:34:43,2020-03-30
6720,215,7,1000.00,100.00,0,100.00,100.00,2019-12-31 04:42:20,2020-03-31
2262,216,7,1000.00,100.00,0,100.00,100.00,2019-12-31 05:25:01,2020-03-31
12844,217,9,1000.00,100.00,0,100.00,100.00,2019-12-31 05:40:39,2020-03-31
12972,218,9,2000.00,200.00,0,100.00,200.00,2020-02-29 18:40:10,2020-03-29
7146,219,7,1000.00,100.00,0,100.00,100.00,2019-12-31 14:40:16,2020-03-31
12123,220,17,3000.00,150.00,150.00,150.00,150.00,2019-12-31 14:59:18,2020-03-31
9997,221,7,1000.00,100.00,0,100.00,100.00,2019-12-31 15:16:46,2020-03-31
541,222,8,500.00,50.00,10.02,50.00,50.00,2019-12-31 15:34:28,2020-03-31
188,223,29,5000.00,167.00,0,167.00,167.00,2019-12-31 15:40:52,2020-03-31
13436,224,9,1000.00,100.00,0,100.00,100.00,2019-12-31 15:42:38,2020-03-31
12557,225,7,500.00,50.00,0,50.00,50.00,2019-12-31 16:08:47,2020-03-31
